Round,MaxUsers,UserID,UserType,CQI,Bandwidth,Rate,TotalBandwidth,ResourceUtilization,OverallUtilization,TotalEMBBRate,TotalURLLCRate,TotalMMTCRate,,,totoal_rate
6,25,18,URLLC,3,3.75,17.87,130,100,100,737.29,215.71,90.91,,0,1043.91
6,25,23,URLLC,1,3.75,13.27,130,100,100,737.29,215.71,90.91,,0,1043.91
6,25,24,URLLC,5,3.75,23.23,130,100,100,737.29,215.71,90.91,,0,1043.91
6,25,1,mMTC,3,1.11,5.29,130,100,100,737.29,215.71,90.91,,0,1043.91
6,25,3,mMTC,13,1.11,14.68,130,100,100,737.29,215.71,90.91,,0,1043.91
6,25,4,mMTC,4,1.11,6.06,130,100,100,737.29,215.71,90.91,,0,1043.91
6,25,7,mMTC,6,1.11,7.75,130,100,100,737.29,215.71,90.91,,0,1043.91
6,25,8,mMTC,15,1.11,16.82,130,100,100,737.29,215.71,90.91,,0,1043.91
6,25,11,mMTC,6,1.11,7.75,130,100,100,737.29,215.71,90.91,,0,1043.91
6,25,17,mMTC,13,1.11,14.68,130,100,100,737.29,215.71,90.91,,0,1043.91
6,25,19,mMTC,3,1.11,5.3,130,100,100,737.29,215.71,90.91,,0,1043.91
6,25,22,mMTC,11,1.11,12.59,130,100,100,737.29,215.71,90.91,,0,1043.91
7,30,2,eMBB,11,8.82,100,130,100,100,741.79,224.63,90.91,,0,1057.33
7,30,5,eMBB,8,11.58,100,130,100,100,741.79,224.63,90.91,,0,1057.33
7,30,6,eMBB,5,16.15,100,130,100,100,741.79,224.63,90.91,,0,1057.33
7,30,10,eMBB,5,16.15,100,130,100,100,741.79,224.63,90.91,,0,1057.33
7,30,13,eMBB,9,10.51,100,130,100,100,741.79,224.63,90.91,,0,1057.33
7,30,20,eMBB,10,8.8,91.61,130,100,100,741.79,224.63,90.91,,0,1057.33
7,30,21,eMBB,12,6,73.59,130,100,100,741.79,224.63,90.91,,0,1057.33
7,30,25,eMBB,2,6,24.75,130,100,100,741.79,224.63,90.91,,0,1057.33
7,30,30,eMBB,8,6,51.83,130,100,100,741.79,224.63,90.91,,0,1057.33
7,30,9,URLLC,7,2.5,19.47,130,100,100,741.79,224.63,90.91,,0,1057.33
7,30,12,URLLC,3,2.5,11.91,130,100,100,741.79,224.63,90.91,,0,1057.33
7,30,14,URLLC,12,2.5,30.67,130,100,100,741.79,224.63,90.91,,0,1057.33
7,30,15,URLLC,7,2.5,19.47,130,100,100,741.79,224.63,90.91,,0,1057.33
7,30,16,URLLC,10,2.5,26.04,130,100,100,741.79,224.63,90.91,,0,1057.33
7,30,18,URLLC,3,2.5,11.91,130,100,100,741.79,224.63,90.91,,0,1057.33
7,30,23,URLLC,1,2.5,8.85,130,100,100,741.79,224.63,90.91,,0,1057.33
7,30,24,URLLC,5,2.5,15.48,130,100,100,741.79,224.63,90.91,,0,1057.33
7,30,26,URLLC,6,2.5,17.43,130,100,100,741.79,224.63,90.91,,0,1057.33
7,30,27,URLLC,3,2.5,11.91,130,100,100,741.79,224.63,90.91,,0,1057.33
7,30,28,URLLC,4,2.5,13.64,130,100,100,741.79,224.63,90.91,,0,1057.33
7,30,29,URLLC,15,2.5,37.84,130,100,100,741.79,224.63,90.91,,0,1057.33
7,30,1,mMTC,3,1.11,5.29,130,100,100,741.79,224.63,90.91,,0,1057.33
7,30,3,mMTC,13,1.11,14.68,130,100,100,741.79,224.63,90.91,,0,1057.33
7,30,4,mMTC,4,1.11,6.06,130,100,100,741.79,224.63,90.91,,0,1057.33
7,30,7,mMTC,6,1.11,7.75,130,100,100,741.79,224.63,90.91,,0,1057.33
7,30,8,mMTC,15,1.11,16.82,130,100,100,741.79,224.63,90.91,,0,1057.33
7,30,11,mMTC,6,1.11,7.75,130,100,100,741.79,224.63,90.91,,0,1057.33
7,30,17,mMTC,13,1.11,14.68,130,100,100,741.79,224.63,90.91,,0,1057.33
7,30,19,mMTC,3,1.11,5.3,130,100,100,741.79,224.63,90.91,,0,1057.33
7,30,22,mMTC,11,1.11,12.59,130,100,100,741.79,224.63,90.91,,0,1057.33
