Round,MaxUsers,UserID,UserType,CQI,Bandwidth,Rate,TotalBandwidth,ResourceUtilization,OverallUtilization,TotalEMBBRate,TotalURLLCRate,TotalMMTCRate,,,
6,25,14,URLLC,9,3,28.54,130,100,100,905.74,288.55,96.96,,1291.25,0
6,25,17,URLLC,7,3,23.37,130,100,100,905.74,288.55,96.96,,1291.25,0
6,25,19,URLLC,7,3,23.37,130,100,100,905.74,288.55,96.96,,1291.25,0
6,25,24,URLLC,8,3,25.92,130,100,100,905.74,288.55,96.96,,1291.25,0
6,25,4,mMTC,8,1.25,10.8,130,100,100,905.74,288.55,96.96,,1291.25,0
6,25,6,mMTC,7,1.25,9.74,130,100,100,905.74,288.55,96.96,,1291.25,0
6,25,9,mMTC,7,1.25,9.74,130,100,100,905.74,288.55,96.96,,1291.25,0
6,25,10,mMTC,9,1.25,11.89,130,100,100,905.74,288.55,96.96,,1291.25,0
6,25,12,mMTC,7,1.25,9.74,130,100,100,905.74,288.55,96.96,,1291.25,0
6,25,18,mMTC,8,1.25,10.8,130,100,100,905.74,288.55,96.96,,1291.25,0
6,25,22,mMTC,12,1.25,15.33,130,100,100,905.74,288.55,96.96,,1291.25,0
6,25,23,mMTC,15,1.25,18.92,130,100,100,905.74,288.55,96.96,,1291.25,0
7,30,1,eMBB,8,12.86,111.06,130,100,100,905.74,283.83,94.84,,1284.41,0
7,30,13,eMBB,8,12.86,111.08,130,100,100,905.74,283.83,94.84,,1284.41,0
7,30,15,eMBB,9,12.86,122.39,130,100,100,905.74,283.83,94.84,,1284.41,0
7,30,16,eMBB,12,12.86,157.71,130,100,100,905.74,283.83,94.84,,1284.41,0
7,30,20,eMBB,11,12.85,145.65,130,100,100,905.74,283.83,94.84,,1284.41,0
7,30,21,eMBB,12,12.86,157.71,130,100,100,905.74,283.83,94.84,,1284.41,0
7,30,25,eMBB,7,12.86,100.14,130,100,100,905.74,283.83,94.84,,1284.41,0
7,30,2,URLLC,5,2.31,14.29,130,100,100,905.74,283.83,94.84,,1284.41,0
7,30,3,URLLC,11,2.31,26.15,130,100,100,905.74,283.83,94.84,,1284.41,0
7,30,5,URLLC,14,2.31,32.7,130,100,100,905.74,283.83,94.84,,1284.41,0
7,30,7,URLLC,6,2.31,16.09,130,100,100,905.74,283.83,94.84,,1284.41,0
7,30,8,URLLC,8,2.31,19.94,130,100,100,905.74,283.83,94.84,,1284.41,0
7,30,11,URLLC,15,2.31,34.92,130,100,100,905.74,283.83,94.84,,1284.41,0
7,30,14,URLLC,9,2.31,21.96,130,100,100,905.74,283.83,94.84,,1284.41,0
7,30,17,URLLC,7,2.31,17.98,130,100,100,905.74,283.83,94.84,,1284.41,0
7,30,19,URLLC,7,2.31,17.98,130,100,100,905.74,283.83,94.84,,1284.41,0
7,30,24,URLLC,8,2.31,19.94,130,100,100,905.74,283.83,94.84,,1284.41,0
7,30,26,URLLC,9,2.31,21.96,130,100,100,905.74,283.83,94.84,,1284.41,0
7,30,27,URLLC,9,2.31,21.96,130,100,100,905.74,283.83,94.84,,1284.41,0
7,30,30,URLLC,7,2.31,17.98,130,100,100,905.74,283.83,94.84,,1284.41,0
7,30,4,mMTC,8,1,8.64,130,100,100,905.74,283.83,94.84,,1284.41,0
7,30,6,mMTC,7,1,7.79,130,100,100,905.74,283.83,94.84,,1284.41,0
7,30,9,mMTC,7,1,7.79,130,100,100,905.74,283.83,94.84,,1284.41,0
7,30,10,mMTC,9,1,9.51,130,100,100,905.74,283.83,94.84,,1284.41,0
7,30,12,mMTC,7,1,7.79,130,100,100,905.74,283.83,94.84,,1284.41,0
7,30,18,mMTC,8,1,8.64,130,100,100,905.74,283.83,94.84,,1284.41,0
7,30,22,mMTC,12,1,12.27,130,100,100,905.74,283.83,94.84,,1284.41,0
7,30,23,mMTC,15,1,15.13,130,100,100,905.74,283.83,94.84,,1284.41,0
7,30,28,mMTC,8,1,8.64,130,100,100,905.74,283.83,94.84,,1284.41,0
7,30,29,mMTC,8,1,8.64,130,100,100,905.74,283.83,94.84,,1284.41,0
