Round,MaxUsers,UserID,UserType,CQI,Bandwidth,Rate,TotalBandwidth,ResourceUtilization,OverallUtilization,TotalEMBBRate,TotalURLLCRate,TotalMMTCRate,,,
6,25,23,eMBB,12,6,73.59,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,24,eMBB,4,6,32.73,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,1,URLLC,2,3,12.37,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,2,URLLC,3,3,14.29,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,4,URLLC,15,3,45.42,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,6,URLLC,4,3,16.37,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,7,URLLC,14,3,42.52,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,12,URLLC,3,3,14.29,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,16,URLLC,9,3,28.54,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,17,URLLC,15,3,45.42,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,22,URLLC,2,3,12.37,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,25,URLLC,14,3,42.52,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,3,mMTC,15,1.32,20,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,5,mMTC,3,2,9.53,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,14,mMTC,6,2,13.95,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,18,mMTC,3,2,9.53,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,19,mMTC,2,2,8.25,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
7,30,8,eMBB,4,18.33,100,130,100,100,673.84,264.06,61.95,,999.85,0
7,30,9,eMBB,6,14.34,100,130,100,100,673.84,264.06,61.95,,999.85,0
7,30,10,eMBB,4,9.33,50.89,130,100,100,673.84,264.06,61.95,,999.85,0
7,30,11,eMBB,3,6,28.59,130,100,100,673.84,264.06,61.95,,999.85,0
7,30,13,eMBB,9,6,57.09,130,100,100,673.84,264.06,61.95,,999.85,0
7,30,15,eMBB,13,6,79.27,130,100,100,673.84,264.06,61.95,,999.85,0
7,30,20,eMBB,11,6,67.99,130,100,100,673.84,264.06,61.95,,999.85,0
7,30,21,eMBB,6,6,41.84,130,100,100,673.84,264.06,61.95,,999.85,0
7,30,23,eMBB,12,6,73.59,130,100,100,673.84,264.06,61.95,,999.85,0
7,30,24,eMBB,4,6,32.73,130,100,100,673.84,264.06,61.95,,999.85,0
7,30,28,eMBB,6,6,41.84,130,100,100,673.84,264.06,61.95,,999.85,0
7,30,1,URLLC,2,2.31,9.52,130,100,100,673.84,264.06,61.95,,999.85,0
7,30,2,URLLC,3,2.31,11,130,100,100,673.84,264.06,61.95,,999.85,0
7,30,4,URLLC,15,2.31,34.93,130,100,100,673.84,264.06,61.95,,999.85,0
7,30,6,URLLC,4,2.31,12.59,130,100,100,673.84,264.06,61.95,,999.85,0
7,30,7,URLLC,14,2.31,32.71,130,100,100,673.84,264.06,61.95,,999.85,0
7,30,12,URLLC,3,2.31,10.99,130,100,100,673.84,264.06,61.95,,999.85,0
7,30,16,URLLC,9,2.31,21.96,130,100,100,673.84,264.06,61.95,,999.85,0
7,30,17,URLLC,15,2.31,34.93,130,100,100,673.84,264.06,61.95,,999.85,0
7,30,22,URLLC,2,2.31,9.52,130,100,100,673.84,264.06,61.95,,999.85,0
7,30,25,URLLC,14,2.31,32.71,130,100,100,673.84,264.06,61.95,,999.85,0
7,30,26,URLLC,2,2.31,9.52,130,100,100,673.84,264.06,61.95,,999.85,0
7,30,27,URLLC,14,2.31,32.7,130,100,100,673.84,264.06,61.95,,999.85,0
7,30,29,URLLC,3,2.31,10.99,130,100,100,673.84,264.06,61.95,,999.85,0
7,30,3,mMTC,15,1.32,20,130,100,100,673.84,264.06,61.95,,999.85,0
7,30,5,mMTC,3,1.74,8.27,130,100,100,673.84,264.06,61.95,,999.85,0
7,30,14,mMTC,6,1.74,12.11,130,100,100,673.84,264.06,61.95,,999.85,0
7,30,18,mMTC,3,1.74,8.27,130,100,100,673.84,264.06,61.95,,999.85,0
7,30,19,mMTC,2,1.74,7.16,130,100,100,673.84,264.06,61.95,,999.85,0
7,30,30,mMTC,1,1.73,6.13,130,100,100,673.84,264.06,61.95,,999.85,0
